id,Balkón / loggia,Cena,Identifikačné číslo:,Kategória,Pivnica,Ulica,Úžitková plocha,Výťah,Lokalita,Poschodie,Stav nehnuteľnosti:,Materiál,Stav,Zastavaná plocha
5643684,Áno,"138 000,00 EUR",NA,3 izbový byt / Predaj,Áno,Nad Lúčkami,2132 m2,Áno,Karlova Ves,7 / 7,NA,panel,kompletná rekonštrukcia,71 m2
5644538,Áno,"135 000,00 EUR",BA2RUZ17SF,2 izbový byt / Predaj,Nie,Exnárova,57 m2,Nie,Ružinov,5 / 7,NA,panel,kompletná rekonštrukcia,57 m2
5645135,Áno,"92 696,00 EUR",1C-906,1 izbový byt / Predaj,Nie,Nobelova,36 m2,Áno,Nové Mesto,9 / 9,Novostavba,NA,NA,NA
5645341,Áno,"340 000,00 EUR",159152,3 izbový byt / Predaj,Nie,Záhradnícka,93 m2,Áno,Staré Mesto,5 / 7,NA,tehla,kompletná rekonštrukcia,NA
5645468,Nie,"399 000,00 EUR",NA,4 izbový byt / Predaj,Áno,Palisády,126 m2,Nie,Staré Mesto,1 / 3,NA,tehla,kompletná rekonštrukcia,NA
5645748,Áno,"255 000,00 EUR",JR121,3 izbový byt / Predaj,Nie,Staré Grunty,84 m2,Áno,Karlova Ves,7 / 8,Novostavba,tehla,NA,NA
5646265,Áno,"116 999,00 EUR",636,3 izbový byt / Predaj,Áno,Bebravská,61 m2,Áno,"Vrakuňa, časť Dolné hony",1 / 7,Novostavba,tehla,NA,NA
5646301,Nie,"77 000,00 EUR",962271,2 izbový byt / Predaj,Áno,Latorická,47 m2,Nie,Podunajské Biskupice,4 / 4,NA,tehla,kompletná rekonštrukcia,NA
5646653,Áno,"320 000,00 EUR",428,3 izbový byt / Predaj,Áno,Mateja Bela,124 m2,Nie,Staré Mesto,4 / 4,NA,tehla,NA,NA
5647845,Áno,"149 900,00 EUR",NA,3 izbový byt / Predaj,Áno,Gallayova,66 m2,Áno,Dúbravka,6 / 8,NA,panel,kompletná rekonštrukcia,NA
5648012,Áno,"99 999,00 EUR",195,3 izbový byt / Predaj,Nie,Rybničná 61/B,75 m2,Áno,Vajnory,6 / 9,NA,panel,kompletná rekonštrukcia,NA
5648617,Áno,"147 900,00 EUR",117017,2 izbový byt / Predaj,Nie,Vajnorská,74 m2,Nie,Nové Mesto,3 / 4,NA,tehla,čiastočná rekonštrukcia,NA
